,ABBN.SW,ABI.BR,ADS.DE,ADYEN.AS,AI.PA,AIR.PA,ALV.DE,ASML.AS,AZN.L,BAS.DE,BATS.L,BAYN.DE,BHP.L,BNP.PA,BP.L,CS.PA,DG.PA,DGE.L,DTE.DE,ENEL.MI,GSK.L,HSBA.L,IBE.MC,ISP.MI,KER.PA,LIN.DE,LOR.F,MBG.DE,MOH.F,NESN.SW,NG.L,NOVN.SW,NOVO-B.CO,PRU.L,PRX.AS,REL.L,RIO.L,RKT.L,ROG.SW,SAF.PA,SAN.PA,SAP.DE,SHEL.L,SIE.DE,SU.PA,TTE.PA,UBSG.SW,ULVR.L,VOD.L,ZURN.SW
CS.PA,0.7908503715674596,0.8452877946220709,1.3851318618148167,1.7991792411915957,0.8941617948376895,1.2160807565079723,0.9826085551061077,1.1967989156977794,1.562453454204586,1.19588446027549,0.7438560717999922,0.8951140830081975,0.21708210563708477,1.1015592474829403,0.4914952954280908,1.0,1.0736449916168904,0.7335358742308151,1.126380006490881,0.952397223048352,1.1527593913499907,1.1880304402317905,0.698757215253843,1.2502578364964108,0.9740595907728009,0.951631524191675,0.9703252324090187,0.8251274136023193,0.9411849837838229,1.2323295005160915,0.5987798355154177,0.7825958211117435,1.1956681952420538,0.8307320250760443,1.175080255558013,0.5282945483649564,0.38211040640491717,2.512030030508872,0.7655635164252375,1.10930584306841,1.7441620907581634,1.1016104158092594,0.26690515124903447,0.9681502554249657,1.0112715010134166,0.6941588163586223,1.1216545891191436,0.6178604413096952,0.7897409300135791,0.8855767102421437
DG.PA,0.8152839980793769,0.9274160296356923,1.1896821036977636,2.096077260859437,0.8690622903593658,1.0583064047567148,0.9849006836096049,1.0568342377418918,1.2429346845436335,1.159149247722451,0.8923424153543894,0.6644130496042429,-0.0031812890249681963,1.0815014475717917,0.39975633128364896,1.0736449916168904,1.0,0.9015513786415803,0.9529269052100361,1.0235378885069875,0.7878581251600589,0.9164095914414455,0.5186060048343042,1.1618164479718445,0.9656472600049013,0.8176866714266741,0.8852415810447041,1.0070653752848657,0.8921749242057365,1.0024866409233812,0.49966597427031095,0.6719321181154011,0.9016126136392079,0.8704658626038266,1.257114369289174,0.5045602363365764,0.22427482404134583,2.8536670313186496,0.17904293097394253,1.0564009096902205,0.9876013288707226,1.079292667683724,0.12821019937803865,0.9914240420872555,0.9956840000187247,0.6414682622339473,1.1004683517006022,1.0624417516951166,0.6121671783252856,0.7242248180173059
DGE.L,0.8156588190139075,1.0365740833762533,1.0565212485625044,2.3230192460927395,1.255218726149468,0.9040516708545295,0.8671672833217146,1.1790457302518493,1.4382916080522483,0.8098280254963666,0.8431364388509489,0.664014648082391,0.48349033671568514,0.8536626024277346,0.46183582981218174,0.7335358742308151,0.9015513786415803,1.0,1.0344401813315547,1.4217378755490107,1.0733621722176512,1.0763613253842945,0.8788041632194512,1.3037282912386672,1.2191518719643186,1.1936972345616166,1.2037349240279596,1.0165202163492626,1.094311954577832,1.4681863202063543,1.206628440262642,0.722039610219277,1.5139614757186546,1.0457497023650977,1.1528692174649076,1.0582143875794103,0.8473168655034181,1.6833955049455036,0.9627342636333581,0.8876658755896366,0.7128990306207602,1.0218872003382007,0.2214971974795475,0.899684306283491,0.8959900715515614,0.454226803233636,0.9123400691956461,0.9430917330928598,0.9311242998327909,0.7766204614082541
DTE.DE,0.9544150962413243,0.8499367881876121,1.1491971420324156,1.8689183759841548,0.861759680816514,1.2423063733744493,0.9916450539447789,1.1835049925727734,1.3810174089360856,1.1553511390674238,1.077047235091562,0.9146151921334195,0.45510719764236907,1.1343628257204241,0.7501226013603106,1.126380006490881,0.9529269052100361,1.0344401813315547,1.0,0.9624907386503108,1.0577831089535739,1.4177324864105092,0.7976468061984427,1.367470184855431,1.0078371417309522,1.0087644658960073,1.4805409412528525,1.152561903150886,1.1182371544037262,1.0143499036414447,0.8921738993861722,0.8185128067349199,0.9489899417270039,0.968350874748337,1.1604898391117826,1.0548815983740423,0.688991357538152,0.9630939136966928,0.6712435292759472,1.1342889628620025,1.226900799084203,1.1161644653205403,0.5428371650162636,1.1938157153235394,1.1457213744215353,0.8912647388640732,1.112862250926445,0.7704922716944699,0.8340464143907286,1.1486131973261935
ENEL.MI,0.7352218651911077,0.998162691562538,1.1588624667218554,1.391831735858192,0.7689925278378601,1.4380198368125905,0.9450025930174429,1.104265690805296,0.9964545704537429,1.097832500730732,0.8552133725121316,0.4905183758815273,0.21095143723208074,1.1553300376537134,0.6005359860500644,0.952397223048352,1.0235378885069875,1.4217378755490107,0.9624907386503108,1.0,1.0084276760643844,1.0452397739342074,1.011725865436354,1.1817816145130902,1.2322253023593444,0.9599557830906131,1.0102218367927036,1.1364507372866182,1.384715499248719,0.9305889603539398,0.8704281267098307,0.8013528358198392,0.9549007971123841,1.2391223278064647,1.0892693759977987,0.6815237781953799,0.2972023245197756,1.4236968715491733,0.631067119579964,1.438513473533048,0.8287233356415972,0.9008562821092779,0.42929596425998456,1.0203564039538846,0.9220230283642246,0.6466408688106364,1.0835731139297116,1.0379374302510258,0.7824763741795747,0.7396281197686141
GSK.L,0.9159684764425349,1.1937983753180184,1.009370524548578,1.211763388146214,1.0726473654918167,1.3138483490124202,1.1831406298925693,0.9934170937994182,1.1147670582688098,0.9709603791289327,1.0657036960045896,1.0131293983501795,0.9369196669134038,1.1912533223550532,1.3336974045983898,1.1527593913499907,0.7878581251600589,1.0733621722176512,1.0577831089535739,1.0084276760643844,1.0,1.689160894552933,0.9622448023726529,1.4152306203468135,1.2807756169076,1.0225763832447456,0.73303822875271,0.8790932615507722,1.0514664086416088,0.9484980811562567,0.9797720862078096,0.9923747383566153,0.7439915638440259,1.118199679405451,0.5206191293634699,0.8248466836904215,1.2305843554967468,0.6915347980756547,1.026795491979075,0.9129679239134606,1.0193677282543898,0.8709105911960752,1.092283423251712,0.8862504015028415,0.7326530728685136,1.144952616396376,1.2851280761749644,0.276036608883789,0.9180754595591958,1.1990632775247514
HSBA.L,1.0858646279335786,1.2945256707514055,1.447490856578593,26.549188710846366,1.1411703902074295,1.4282701576208072,1.1066148723809175,1.7179909962077222,2.9359986161787126,1.1471957993051567,1.627086749000531,1.0384569250271893,0.5977434871292144,1.037373726753399,0.8802073626762958,1.1880304402317905,0.9164095914414455,1.0763613253842945,1.4177324864105092,1.0452397739342074,1.689160894552933,1.0,1.03372509049654,1.3338264558280373,1.2577130967968297,1.0819930262681765,1.2135113064283236,1.0550421371302112,1.1389430774918259,1.9128205174185964,0.8797685195585393,1.3622343036977564,21.987917773504396,1.0886671335132383,1.6154653406920247,0.7811893185590952,0.796469873752271,4.638503230805414,2.064007424235735,1.4452184191793926,1.7625337259809464,1.2603406272586284,0.6929672974155496,1.2266418099310983,1.0018644223702127,1.1385141611526726,1.165956405042342,1.0439268548964689,0.856874658291726,1.1983455320623078
IBE.MC,0.6845933600370141,0.8472275459548387,0.8782900744993779,1.28351713928371,0.5141229655324339,1.239708153127096,0.8511376128813786,1.0822120808703728,1.144323371304973,0.8928848314279283,0.5648058413304368,0.2912481988326501,0.24619307433135892,0.6357651707928962,0.6147957855794366,0.698757215253843,0.5186060048343042,0.8788041632194512,0.7976468061984427,1.011725865436354,0.9622448023726529,1.03372509049654,1.0,0.7342229603170801,0.8656308215987504,0.7643045301419786,0.7803991532254767,0.9100789515966806,1.0823356939057491,0.5309251731270509,0.8654254338988645,0.8568668928944633,0.7568141912673886,1.1334144704727245,0.6887843976043986,0.573821987093846,0.0771411313729031,0.9228345518835209,0.7949759608793207,1.2870058100827781,0.9061944844668898,0.9893465638232799,0.6428314053119085,0.9086584625953271,0.7411059016902487,0.5425398655134503,0.822626362347722,0.46307186174275455,0.39189200173216315,0.6545025374353964
ISP.MI,0.9735851219119226,1.142822464226765,1.5782656762251595,1.9819706216616033,0.9636591549730115,1.3182483676550876,1.128118724256546,1.6028992587702668,2.5440628997240995,1.2564012065820138,1.0943403834727135,0.8475053143939485,0.1650512205821049,1.2448149967531619,0.4890694929004924,1.2502578364964108,1.1618164479718445,1.3037282912386672,1.367470184855431,1.1817816145130902,1.4152306203468135,1.3338264558280373,0.7342229603170801,1.0,1.3559530818108139,1.0796034169818853,1.4098262557475056,1.0440349692285087,1.2722745571763474,1.2726661636779781,0.49779750052652355,0.6535712444181929,2.861943086576853,1.1377521886593862,2.281923848711659,0.7817731818460932,0.39582118553733836,4.7077811384946004,0.49759004479749774,1.327017202143675,1.2955627879937017,1.4081133345582855,0.24226509644463223,1.265970462490877,1.1737209138646367,0.7185893070435696,1.1982591779862934,1.3562653309387334,0.8697923122695816,0.8166416892389751
KER.PA,1.1615016568838006,1.10828328346884,1.2437719730484582,2.099852196603707,1.270089417102791,1.1690642251032854,0.9735120162810641,1.4075300969938829,1.9911131369451112,1.174243051939002,1.0333143269697254,0.8094619468211949,0.5592616641929494,1.0887403373355697,0.6167274923413625,0.9740595907728009,0.9656472600049013,1.2191518719643186,1.0078371417309522,1.2322253023593444,1.2807756169076,1.2577130967968297,0.8656308215987504,1.3559530818108139,1.0,1.2884673474552477,1.392862373537313,1.057438066953377,0.9970746166612154,1.0383693264099436,0.8847800554339739,0.4015969985148206,1.5659466578606211,1.156125059730092,1.6560085733653618,1.1150253034496551,0.6605651882075769,3.0962568428219472,0.46028645620594427,1.1281416988179571,0.8355252364450354,1.3209452723934751,0.45611681048584446,1.2059530634842013,1.2281888807923964,0.7138667701749049,1.206243862848856,1.0888912251871914,0.7270704131653152,0.6773370659261121
LIN.DE,1.0306102293379427,1.1654606723290468,1.297109641874146,1.7404761559942385,1.071267793265173,1.2864700664206565,0.9089589052213002,1.2745073853875464,1.4289292787909316,0.8006693164845889,0.7725394469283726,0.7419565910778552,0.5982963547631516,0.9309213936669878,0.5667539895598468,0.951631524191675,0.8176866714266741,1.1936972345616166,1.0087644658960073,0.9599557830906131,1.0225763832447456,1.0819930262681765,0.7643045301419786,1.0796034169818853,1.2884673474552477,1.0,1.1505315145952397,0.8503065164589992,1.110073709467089,1.0026413010432471,0.7754831791083713,0.5493668205478895,1.5102934082625712,1.0851565893832291,1.310114360166519,0.9129711007987372,0.6378242053996941,1.915497961930309,0.7589536958700224,1.1565027418828713,0.7321239123963603,1.1224474497563979,0.2819587918492291,1.0864025965739073,1.061649962253913,0.6507321529838023,0.9875691398290253,0.47910305348686144,0.5118432282503169,0.794745392654959
LOR.F,1.2944639247976744,1.1301537584340362,1.21193905962075,1.8633902101509983,0.9766915488640305,1.6462332067896623,1.1351197613564232,1.5278961629459875,0.8501921523972044,1.3298189133585205,0.43243689726459716,0.8158412324473218,0.5273327603152517,1.209893510042194,0.3385509680617757,0.9703252324090187,0.8852415810447041,1.2037349240279596,1.4805409412528525,1.0102218367927036,0.73303822875271,1.2135113064283236,0.7803991532254767,1.4098262557475056,1.392862373537313,1.1505315145952397,1.0,1.1837094558274441,1.1537905013188632,1.1202337049135538,0.5951124525093436,0.48747160043467447,1.319463965806812,1.2119131165995518,1.417932375570501,1.2423433639499908,0.6319832651018221,1.0133992831293144,0.7944670522647204,1.3909362798237677,0.5965802966725005,1.422205934115962,0.2068144494674617,1.3603653813537233,1.3395201515906705,0.5544964847457242,1.1299073012820062,0.6240600797176601,0.8694388248944562,0.8918047089081435
MBG.DE,0.7042506088131232,0.9035765759036934,1.2689615600322262,2.6327044869691676,0.7607444997968266,1.195404221108022,0.8382900870782168,1.2000107041118044,1.3078695453266775,0.9715564956028094,0.9891868330132787,0.39615875514839605,0.05915739956557699,0.9052628662223781,0.5326056935101126,0.8251274136023193,1.0070653752848657,1.0165202163492626,1.152561903150886,1.1364507372866182,0.8790932615507722,1.0550421371302112,0.9100789515966806,1.0440349692285087,1.057438066953377,0.8503065164589992,1.1837094558274441,1.0,0.8543786058049688,1.3705232485581162,0.860759855671332,0.6585055584182808,0.7105575263280851,0.7838326750030422,1.1293022491191829,0.8259729315016071,0.20374413964457552,4.373136011842479,0.34086381623175566,1.0893834451395616,0.8658908561918832,0.983914286226316,0.3081598157411192,0.9340077814716908,0.8345825673107423,0.5660880357575001,0.9152305321676588,1.1869478075777882,0.6614199202839603,0.6743489376251006
MOH.F,0.9720991058631,1.1110376456638,1.2020504128690745,1.8044770238665488,1.0517687589424765,1.2414994095928746,0.9586905903075489,1.1403658398494698,1.3874330336215261,1.2521599657159657,1.2817904873616541,0.9394004128289302,0.42067533505111465,0.963857308078655,0.3949355173694879,0.9411849837838229,0.8921749242057365,1.094311954577832,1.1182371544037262,1.384715499248719,1.0514664086416088,1.1389430774918259,1.0823356939057491,1.2722745571763474,0.9970746166612154,1.110073709467089,1.1537905013188632,0.8543786058049688,1.0,0.862243785761916,0.7830829555136469,0.8313607316969108,1.163901908969466,1.1664439543017697,1.3233744859536254,1.003734083931171,0.593865979176465,2.6314555959360306,0.794832576594182,1.2081668254925322,0.7413174365315345,1.0190998427824038,0.36666094083843054,1.0195610115220517,1.0951351750439589,0.7387535264030444,1.1121274612938783,0.9200074880519343,0.8176977030836023,0.7024761299658827
NESN.SW,0.5933370804759391,1.0652301453130384,0.8904972800978905,0.9729278796758202,0.9125164574613809,1.2937975276558578,1.2056619330984715,1.2675164803418189,1.037534900647118,0.9846117105154333,0.8343573445949858,0.7520051727106175,0.311613961513339,1.2521025680603288,0.3776445980209156,1.2323295005160915,1.0024866409233812,1.4681863202063543,1.0143499036414447,0.9305889603539398,0.9484980811562567,1.9128205174185964,0.5309251731270509,1.2726661636779781,1.0383693264099436,1.0026413010432471,1.1202337049135538,1.3705232485581162,0.862243785761916,1.0,1.0698954051989376,0.4525239163936874,0.9000187393206618,1.2012478449485557,1.0069551512775836,1.2322669851069066,0.9647404974814106,1.034224428672825,0.6566575911074204,1.2186657642550194,0.5294958034077986,1.1329090553004932,-0.07255931037195001,1.001178825412889,0.8083940511153336,0.6306050783373579,0.8070557697372222,0.43437584336539437,0.9780060937278059,1.0008040290929596
NG.L,0.32847991328228604,1.173037404808566,0.4600654017055121,0.7452698530403306,1.006015705170527,0.5875592479253565,0.6313776929630166,0.9522513530885784,1.197126108030847,0.34826404285723594,0.8283911568460683,0.5229249256646866,0.6404773584878999,0.12426628791395487,0.9217608494179169,0.5987798355154177,0.49966597427031095,1.206628440262642,0.8921738993861722,0.8704281267098307,0.9797720862078096,0.8797685195585393,0.8654254338988645,0.49779750052652355,0.8847800554339739,0.7754831791083713,0.5951124525093436,0.860759855671332,0.7830829555136469,1.0698954051989376,1.0,0.7899198954239415,0.6775113086923292,0.7340991098292627,-0.4614947018848438,0.9619950866260939,0.9021455300077527,0.7818884288048285,1.1883623060427257,0.6261319125741995,0.8367687508561873,0.5748788316901962,0.904236160858387,0.45857961909867095,0.41782810119429753,0.5317738239804709,0.5317470648062655,0.6433318961156681,0.7919973862296478,0.7342264865057183
